"date","node","cpu","int","mem"
"2014-02-01 06:10:00","lbpeuid01.sceu.corp",8.5,0.02,91.52
"2014-02-01 06:10:00","lbpeuid02.sceu.corp",10,0,91.25
"2014-02-01 06:10:00","lbpeuin01.sceu.corp",9.5,0.01,91.97
"2014-02-01 06:10:00","lbpeuin02.sceu.corp",11.5,0.01,91.49
"2014-02-01 06:15:00","lbpeuid01.sceu.corp",8.5,0.03,91.51
"2014-02-01 06:15:00","lbpeuid02.sceu.corp",9.5,0,91.24
"2014-02-01 06:15:00","lbpeuin01.sceu.corp",10,0.01,91.97
"2014-02-01 06:15:00","lbpeuin02.sceu.corp",12,0.01,91.49
"2014-02-01 06:20:00","lbpeuid01.sceu.corp",8.5,0.03,91.5
"2014-02-01 06:20:00","lbpeuid02.sceu.corp",9.5,0,91.23
"2014-02-01 06:20:00","lbpeuin01.sceu.corp",10.5,0.01,91.97
"2014-02-01 06:20:00","lbpeuin02.sceu.corp",11.5,0.01,91.5
"2014-02-01 06:25:00","lbpeuid01.sceu.corp",8.5,0.01,91.51
"2014-02-01 06:25:00","lbpeuid02.sceu.corp",9.5,0,91.24
"2014-02-01 06:25:00","lbpeuin01.sceu.corp",9.5,0.03,91.97
"2014-02-01 06:25:00","lbpeuin02.sceu.corp",12,0.01,91.49
"2014-02-01 06:30:00","lbpeuid01.sceu.corp",8.5,0.06,91.5
"2014-02-01 06:30:00","lbpeuid02.sceu.corp",9.5,0,91.24
"2014-02-01 06:30:00","lbpeuin01.sceu.corp",10,0.01,91.96
"2014-02-01 06:30:00","lbpeuin02.sceu.corp",12,0.01,91.49
"2014-02-01 06:35:00","lbpeuid01.sceu.corp",8.5,0.01,91.5
"2014-02-01 06:35:00","lbpeuid02.sceu.corp",9.5,0,91.23
"2014-02-01 06:35:00","lbpeuin01.sceu.corp",10.5,0.01,91.98
"2014-02-01 06:35:00","lbpeuin02.sceu.corp",12,0.01,91.48
"2014-02-01 06:40:00","lbpeuid01.sceu.corp",8.5,0.02,91.5
"2014-02-01 06:40:00","lbpeuid02.sceu.corp",9.5,0,91.24
"2014-02-01 06:40:00","lbpeuin01.sceu.corp",10,0.02,91.97
"2014-02-01 06:40:00","lbpeuin02.sceu.corp",11.5,0.01,91.49
"2014-02-01 06:45:00","lbpeuid01.sceu.corp",8.5,0.03,91.51
"2014-02-01 06:45:00","lbpeuid02.sceu.corp",9.5,0,91.25
"2014-02-01 06:45:00","lbpeuin01.sceu.corp",10,0.01,91.97
"2014-02-01 06:45:00","lbpeuin02.sceu.corp",11.5,0.01,91.49
"2014-02-01 06:50:00","lbpeuid01.sceu.corp",8.5,0.01,91.51
"2014-02-01 06:50:00","lbpeuid02.sceu.corp",9.5,0,91.22
"2014-02-01 06:50:00","lbpeuin01.sceu.corp",10,0.02,91.96
"2014-02-01 06:50:00","lbpeuin02.sceu.corp",12,0.01,91.5
"2014-02-01 06:55:00","lbpeuid01.sceu.corp",8.5,0.03,91.5
"2014-02-01 06:55:00","lbpeuid02.sceu.corp",9.5,0,91.23
"2014-02-01 06:55:00","lbpeuin01.sceu.corp",10.5,0.03,91.96
"2014-02-01 06:55:00","lbpeuin02.sceu.corp",11.5,0.01,91.49
"2014-02-01 07:00:00","lbpeuid01.sceu.corp",8.5,0.02,91.5
"2014-02-01 07:00:00","lbpeuid02.sceu.corp",9.5,0,91.22
"2014-02-01 07:00:00","lbpeuin01.sceu.corp",10.5,0.03,91.98
"2014-02-01 07:00:00","lbpeuin02.sceu.corp",12,0.01,91.5
"2014-02-01 07:05:00","lbpeuid01.sceu.corp",8.5,0.03,91.51
"2014-02-01 07:05:00","lbpeuid02.sceu.corp",9.5,0,91.23
"2014-02-01 07:05:00","lbpeuin01.sceu.corp",10,0.01,91.97
"2014-02-01 07:05:00","lbpeuin02.sceu.corp",12,0.01,91.49
"2014-02-01 07:10:00","lbpeuid01.sceu.corp",8.5,0.02,91.51
