"cpu.d01","int.d01","mem.d01","cpu.d02","int.d02","mem.d02","cpu.n01","int.n01","mem.n01","cpu.n02","int.n02","mem.n02"
8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10.5 0.03 91.96 10.5 0.03 91.96 10.5 0.03 91.96 10.5 0.03 91.96
12 0.01 91.49 12 0.01 91.49 12 0.01 91.49 12 0.01 91.49
8.5 0.02 91.5 8.5 0.02 91.5 8.5 0.02 91.5 8.5 0.02 91.5
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10.5 0.01 91.98 10.5 0.01 91.98 10.5 0.01 91.98 10.5 0.01 91.98
12 0.01 91.49 12 0.01 91.49 12 0.01 91.49 12 0.01 91.49
9 0.03 91.51 9 0.03 91.51 9 0.03 91.51 9 0.03 91.51
9.5 0 91.24 9.5 0 91.24 9.5 0 91.24 9.5 0 91.24
10 0.01 91.96 10 0.01 91.96 10 0.01 91.96 10 0.01 91.96
12 0.01 91.49 12 0.01 91.49 12 0.01 91.49 12 0.01 91.49
8.5 0.02 91.52 8.5 0.02 91.52 8.5 0.02 91.52 8.5 0.02 91.52
10 0 91.25 10 0 91.25 10 0 91.25 10 0 91.25
9.5 0.01 91.97 9.5 0.01 91.97 9.5 0.01 91.97 9.5 0.01 91.97
11.5 0.01 91.49 11.5 0.01 91.49 11.5 0.01 91.49 11.5 0.01 91.49
8.5 0.03 91.51 8.5 0.03 91.51 8.5 0.03 91.51 8.5 0.03 91.51
9.5 0 91.24 9.5 0 91.24 9.5 0 91.24 9.5 0 91.24
10 0.01 91.97 10 0.01 91.97 10 0.01 91.97 10 0.01 91.97
12 0.01 91.49 12 0.01 91.49 12 0.01 91.49 12 0.01 91.49
8.5 0.03 91.5 8.5 0.03 91.5 8.5 0.03 91.5 8.5 0.03 91.5
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10.5 0.01 91.97 10.5 0.01 91.97 10.5 0.01 91.97 10.5 0.01 91.97
11.5 0.01 91.5 11.5 0.01 91.5 11.5 0.01 91.5 11.5 0.01 91.5
8.5 0.01 91.51 8.5 0.01 91.51 8.5 0.01 91.51 8.5 0.01 91.51
9.5 0 91.24 9.5 0 91.24 9.5 0 91.24 9.5 0 91.24
9.5 0.03 91.97 9.5 0.03 91.97 9.5 0.03 91.97 9.5 0.03 91.97
12 0.01 91.49 12 0.01 91.49 12 0.01 91.49 12 0.01 91.49
8.5 0.06 91.5 8.5 0.06 91.5 8.5 0.06 91.5 8.5 0.06 91.5
9.5 0 91.24 9.5 0 91.24 9.5 0 91.24 9.5 0 91.24
10 0.01 91.96 10 0.01 91.96 10 0.01 91.96 10 0.01 91.96
12 0.01 91.49 12 0.01 91.49 12 0.01 91.49 12 0.01 91.49
8.5 0.01 91.5 8.5 0.01 91.5 8.5 0.01 91.5 8.5 0.01 91.5
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
